"","Time","PDCSAP_FLUX","GT","QFD_Trend","Sigma_Trend","QFD_State","Sigma_State","Flux"
"trend[2]",1325.29757179205,-2.14759472328547,"1",0.337555592217333,2.95497398394597,"1","1",0
"trend[3]",1325.29896067334,5.42345019858453,"1",-0.113343888810889,2.37282809003733,"1","1",0
"trend[4]",1325.30034955466,-2.95582226234546,"1",-0.564074004778587,1.70948033626656,"1","1",0
"trend[5]",1325.30173843595,-0.189342770155463,"1",-1.01333816665334,1.07898013875082,"1","1",0
"trend[6]",1325.30312731726,6.36973926108453,"1",-1.45977020404617,0.500448505535725,"1","1",0
"trend[7]",1325.30451619858,-9.27943066078547,"1",-1.90207852586475,-0.0671876973285801,"1","1",0
"trend[8]",1325.30590507993,5.95311328452453,"1",-2.33908860303797,-0.570068808034031,"1","1",0
"trend[9]",1325.30729396125,-10.9163935514155,"1",-2.76975907213081,-1.04077697065,"1","1",0
"trend[10]",1325.30868284259,5.72911426108453,"1",-3.19271825299553,-1.48374071231395,"1","1",0
"trend[11]",1325.31007172394,6.78038379234454,"1",-3.60693866713573,-2.03036848416191,"1","1",0
"trend[12]",1325.31146060528,-21.1092646451555,"1",-4.01109966758379,-2.68919518525753,"1","1",0
"trend[13]",1325.31284948666,8.71532031577453,"1",-4.40408820220632,-3.35967236290277,"1","1",0
"trend[14]",1325.31423836804,-1.37501171547547,"1",-4.78474429026506,-4.19791174063883,"1","1",0
"trend[15]",1325.31562724941,-9.48707226234546,"1",-5.15199503970057,-5.2183448116483,"1","1",0
"trend[16]",1325.31701613079,-3.30445507484546,"1",-5.5047580131133,-6.29146141098281,"1","1",0
"trend[17]",1325.31840501216,-9.07740429359546,"1",-5.84198854236876,-7.38859480706677,"1","1",0
"trend[18]",1325.31979389357,-7.47755077797547,"1",-6.16289497355409,-8.43141482924799,"1","1",0
"trend[19]",1325.32118277497,-13.8811152310955,"1",-6.46656082214876,-9.3172895871273,"1","1",0
"trend[20]",1325.32257165638,-9.81092480141547,"1",-6.75215474788981,-9.97292202489916,"1","1",0
"trend[21]",1325.32396053778,-15.3801386685955,"1",-7.01884782831993,-10.4100723119492,"1","1",0
"trend[22]",1325.32534941922,-11.7401240201555,"1",-7.26587613578625,-10.5781627822915,"1","1",0
"trend[23]",1325.32673830065,-15.5507929654755,"1",-7.49252629741223,-10.4991328471272,"1","1",0
"trend[24]",1325.32812718208,-6.50794628578547,"1",-7.69822013508607,-10.2420083676416,"1","1",0
